,MUM,DEL,BNG,CHN,KOL,HYD,AMD
MUM,0.0,2.59,2.09,2.5,3.22,1.77,1.54
DEL,2.59,0.0,3.48,3.54,2.71,2.8,2.04
BNG,2.09,3.48,0.0,1.34,3.16,1.6,2.71
CHN,2.5,3.54,1.34,0.0,2.91,1.67,3.1
KOL,3.22,2.71,3.16,2.91,0.0,2.71,3.36
HYD,1.77,2.8,1.6,1.67,2.71,0.0,2.35
AMD,1.54,2.04,2.71,3.1,3.36,2.35,0.0
