,MUM,DEL,BNG,CHN,KOL
MUM,0.0,2.09,1.59,2.0,2.72
DEL,2.09,0.0,2.98,3.04,2.21
BNG,1.59,2.98,0.0,0.84,2.66
CHN,2.0,3.04,0.84,0.0,2.41
KOL,2.72,2.21,2.66,2.41,0.0
