,MUM,DEL,BNG,CHN,KOL
MUM,0.0,2.59,2.09,2.5,3.22
DEL,2.59,0.0,3.48,3.54,2.71
BNG,2.09,3.48,0.0,1.34,3.16
CHN,2.5,3.54,1.34,0.0,2.91
KOL,3.22,2.71,3.16,2.91,0.0
